"sensor_id","sensor_model","datetime","temp_c","roof_colour","trap_style","trap_id"
"A4000000103C4153","DS1925",2026-05-06 16:00:20,19,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 16:05:20,19,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 16:10:20,19,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 16:15:20,19,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 16:20:20,19,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 16:25:20,19,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 16:30:20,19,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 16:35:20,19,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 16:40:20,19,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 16:45:20,19,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 16:50:20,18.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 16:55:20,18.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 17:00:20,18,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 17:05:20,18,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 17:10:20,17.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 17:15:20,17.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 17:20:20,17,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 17:25:20,17,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 17:30:20,16.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 17:35:20,16.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 17:40:20,16,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 17:45:20,16,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 17:50:20,16,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 17:55:20,15.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 18:00:20,15.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 18:05:20,15,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 18:10:20,15,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 18:15:20,15,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 18:20:20,14.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 18:25:20,14.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 18:30:20,14.5,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 18:35:20,14,"t","r","pilot1"
"A4000000103C4153","DS1925",2026-05-06 18:40:20,14,"t","r","pilot1"
